Date,Open,High,Low,Close,Adj Close,Volume
29-06-2022,180000,181000,172500,175500,158031.0781,2543120
30-06-2022,176500,184500,175500,180500,162533.4063,1651221
01-07-2022,181500,185000,179500,180000,162083.1406,916020
04-07-2022,181000,183000,175000,178000,160282.2344,1006440
05-07-2022,180000,181000,173500,177500,159832,1097504
06-07-2022,176000,177000,172000,172500,155329.6719,924184
07-07-2022,175000,177000,172500,175000,157580.8438,536363
08-07-2022,177500,180500,177000,178000,160282.2344,824702
11-07-2022,180000,182000,179000,179000,161182.6875,660814
12-07-2022,180000,181500,177000,179000,161182.6875,539027
13-07-2022,180000,185000,178500,183500,165234.75,941277
14-07-2022,183000,184500,180500,182500,164334.2969,780637
15-07-2022,183000,184500,178500,183500,165234.75,768143
18-07-2022,187000,188500,183500,185500,167035.6719,699961
19-07-2022,185000,189000,184500,188500,169737.0781,868892
20-07-2022,191500,191500,188500,189000,170187.2969,985986
21-07-2022,189000,193500,185500,189000,170187.2969,2136819
22-07-2022,191000,193000,188000,191000,171988.2344,1378005
25-07-2022,192500,198500,192500,196000,176490.5469,1352264
26-07-2022,196000,196500,192500,196000,176490.5469,735482
27-07-2022,196000,197000,193000,196000,176490.5469,608998
28-07-2022,198000,198000,194000,195000,175590.0781,757504
29-07-2022,196000,197000,194000,196000,176490.5469,844829
01-08-2022,196000,198000,195000,196000,176490.5469,601112
02-08-2022,196500,197000,193500,196500,176940.7813,721088
03-08-2022,197000,198000,196000,197000,177391.0156,683572
04-08-2022,198000,198500,194500,196500,176940.7813,622111
05-08-2022,196000,197500,193500,194500,175139.8438,919482
08-08-2022,193500,196000,193000,196000,176490.5469,635689
09-08-2022,195500,196000,191000,193500,174239.4063,962838
10-08-2022,193000,194500,192000,192500,173338.9063,510243
11-08-2022,195000,195000,192500,193000,173789.1719,731121
12-08-2022,193500,197500,193500,196000,176490.5469,627417
16-08-2022,198000,199500,196000,197500,177841.2344,505801
17-08-2022,195000,196500,188000,190000,171087.7813,1410422
18-08-2022,186500,187500,184000,186000,167485.9219,1438270
19-08-2022,187000,191500,186500,190000,171087.7813,770986
22-08-2022,187500,192000,187000,189000,170187.2969,532730
23-08-2022,189000,193000,188000,189000,170187.2969,711974
24-08-2022,190000,191000,185500,188000,169286.8438,700265
25-08-2022,189000,192500,188500,192000,172888.7031,561737
26-08-2022,192500,194000,191500,193500,174239.4063,473581
29-08-2022,188500,189000,186500,188500,169737.0781,601747
30-08-2022,190500,196000,190500,195500,176040.2969,891335
31-08-2022,195000,197500,194500,196000,176490.5469,762426
01-09-2022,193500,197500,191000,195500,176040.2969,785337
02-09-2022,199000,203500,196000,196500,176940.7813,1401989
05-09-2022,197500,201000,197500,200000,180092.4063,886938
06-09-2022,200500,201000,198000,201000,180992.8438,591596
07-09-2022,201000,203000,199000,202000,181893.3125,758254
08-09-2022,202500,203000,198500,200000,180092.4063,860563
13-09-2022,200500,201500,198000,200500,180542.625,910285
14-09-2022,197000,200000,196000,198500,178741.6875,668955
15-09-2022,199000,201000,198000,198000,178291.4844,404656
16-09-2022,199500,202500,199000,201000,180992.8438,911954
